name,pname,ra,dec,dist,vmag
HR 4757,,12.4977731,-16.51509397,87.89,2.94
HR 8414,,22.09639591,-0.31982656,758.52,2.95
HR 1231,,3.96714724,-13.50824471,221.13,2.97
HR 1910,,5.62741229,21.14259299,417.09,2.97
HR 3873,,9.76419511,23.77427792,250.7,2.97
HR 6746,,18.09681239,-30.42365007,96.1,2.98
HR 5020,,13.31534816,-23.17141246,132.1,2.99
HR 6615,,17.79307809,-40.12698197,1792.11,2.99
HR 7235,,19.09017012,13.86370983,83.25,2.99
HR 622,,2.15903358,34.98739204,124.3,3
HR 4335,,11.16107206,44.49855337,146.85,3
HR 5735,,15.34548589,71.83397308,480.36,3
HR 6247,,16.86451079,-38.04732717,821.57,3
HR 8353,,21.8987928,-37.3648229,202.96,3
HR 1122,,3.71541169,47.7876533,527.77,3.01
HR 2282,,6.33855198,-30.06337656,336.25,3.02
HR 2653,,7.05040932,-23.83330131,2568.22,3.02
HR 4630,,12.16875718,-22.61979211,303.41,3.02
HR 1605,,5.032815,43.82331397,2038.52,3.03
HR 4844,,12.77135267,-68.10809405,311.22,3.04
HR 5435,,14.53465494,38.30788348,85.18,3.04
HR 7417,,19.51202368,27.9596948,385.54,3.05
HR 7776,,20.35017956,-14.78140119,344.05,3.05
HR 2473,,6.73220272,25.13115531,903.5,3.06
HR 4069,,10.37216756,41.4994335,248.79,3.06
HR 7310,,19.20920972,67.66131695,100.23,3.07
HR 6832,,18.29381366,-36.76128103,149.14,3.1
HR 3547,,8.92324579,5.9455277,150.72,3.11
HR 4232,,10.82706446,-16.19413208,138.56,3.11
HR 4467,,11.59636896,-63.01982488,409.75,3.11
HR 7869,,20.62610824,-47.29166239,101.26,3.11
HR 2040,,5.84932022,-35.76929225,85.97,3.12
HR 3569,,8.98689965,48.04234956,47.74,3.12
HR 6285,,16.97700854,-55.99005508,574.23,3.12
HR 6410,,17.25053449,24.83958739,78.5,3.12
HR 5576,,14.9860275,-42.10414199,539.11,3.13
HR 3705,,9.35096077,34.39252592,222.03,3.14
HR 3803,,9.52037604,-57.0343916,237.73,3.16
HR 6418,,17.25079285,36.80915527,366.89,3.16
HR 2451,,6.62935324,-43.19592394,423.04,3.17
HR 3775,,9.54786812,51.67860208,43.99,3.17
HR 6396,,17.1464514,65.71463676,339.75,3.17
HR 7039,,18.76093138,-26.9907794,230.67,3.17
HR 1641,,5.10857473,41.23464074,219.34,3.18
HR 5463,,14.70852362,-64.97456957,53.5,3.18
HR 1543,,4.83059395,6.96124744,26.18,3.19
HR 1654,,5.09101447,-22.37085673,226.66,3.19
HR 6299,,16.96118627,9.37505626,85.86,3.19
HR 6630,,17.83095867,-37.04337105,126.86,3.19
HR 8115,,21.21560598,30.22708128,150.86,3.21
HR 8974,,23.65582834,77.63196681,44.99,3.21
HR 5695,,15.35620455,-40.64745946,510.43,3.22
HR 6075,,16.30534466,-4.69260809,107.5,3.23
HR 6869,,18.35525571,-2.897122,61.76,3.23
HR 8238,,21.47765973,70.56069481,595.19,3.23
HR 2550,,6.80320475,-61.94197988,98.96,3.24
HR 7710,,20.18840688,-0.82147569,287.12,3.24
HR 2878,,7.48718842,-43.30189129,183.86,3.25
HR 5287,,14.10618582,-26.68201883,101.39,3.25
HR 5603,,15.06785052,-25.28185602,292,3.25
HR 7178,,18.98239571,32.68955312,634.56,3.25
HR 1208,,3.78728653,-74.23924251,214.16,3.26
HR 165,,0.65544371,30.86122579,101.32,3.27
